OGLE-LMC-CEP-0063,F,45:18.6,-69:16:38.6,-99.99,13.63,-99.99,21.067711
OGLE-LMC-CEP-0064,F,45:29.3,-69:08:49.4,15.295,15.987,0.692,3.2291389
OGLE-LMC-CEP-0065,1,45:29.4,-68:19:16.3,18.198,18.93,0.732,0.3382917
OGLE-LMC-CEP-0066,1,45:34.2,-69:53:54.0,15.735,16.519,0.784,1.9492243
OGLE-LMC-CEP-0067,F,45:34.6,-70:22:15.1,15.327,16.111,0.784,3.4854335
OGLE-LMC-CEP-0068,F,45:37.2,-70:15:03.7,12.748,13.584,0.836,28.3738735
OGLE-LMC-CEP-0069,1,45:38.7,-68:39:06.3,15.651,16.349,0.698,1.8070072
OGLE-LMC-CEP-0070,F,46:01.1,-69:38:55.8,13.754,14.766,1.012,13.7462846
OGLE-LMC-CEP-0071,1,46:06.3,-68:46:31.8,15.962,16.584,0.622,1.3858956
OGLE-LMC-CEP-0072,F,46:32.8,-68:44:57.6,15.565,16.253,0.688,2.3366463
OGLE-LMC-CEP-0074,1,46:38.5,-66:57:48.7,15.422,16.008,0.586,1.793123
OGLE-LMC-CEP-0075,F,46:39.1,-70:15:57.6,15.342,16.121,0.779,3.4187485
OGLE-LMC-CEP-0076,F,46:47.9,-69:05:43.1,15.033,15.904,0.871,5.1478925
OGLE-LMC-CEP-0077,1,46:56.5,-68:07:42.8,14.954,15.657,0.703,2.9660163
OGLE-LMC-CEP-0078,F,47:01.0,-70:05:52.5,14.316,15.172,0.856,7.3826504
OGLE-LMC-CEP-0079,F,47:06.9,-69:17:39.5,13.103,14.132,1.029,22.5437817
OGLE-LMC-CEP-0080,1,47:11.1,-67:40:02.8,14.87,15.612,0.742,3.4203322
OGLE-LMC-CEP-0082,1,47:14.9,-69:59:47.4,14.153,14.861,0.708,4.930735
OGLE-LMC-CEP-0084,1,47:20.0,-69:29:12.9,14.745,15.502,0.757,3.4993228
OGLE-LMC-CEP-0085,1,47:20.1,-69:56:42.0,14.851,15.559,0.708,3.0301025
OGLE-LMC-CEP-0086,1,47:22.8,-69:26:10.1,15.49,16.181,0.691,2.0407738
OGLE-LMC-CEP-0087,F,47:24.2,-69:43:19.1,15.213,15.955,0.742,3.5902086
OGLE-LMC-CEP-0088,1,47:31.0,-69:30:47.9,15.362,15.997,0.635,2.045494
OGLE-LMC-CEP-0089,F,47:31.1,-68:55:28.7,15.194,15.991,0.797,4.6938588
OGLE-LMC-CEP-0090,F,47:44.7,-70:12:07.2,15.132,15.867,0.735,4.0004649
OGLE-LMC-CEP-0091,F,47:46.1,-68:19:49.5,15.349,16.123,0.774,3.5989553
OGLE-LMC-CEP-0092,1,47:47.6,-67:51:57.9,15.618,16.184,0.566,1.6208589
OGLE-LMC-CEP-0093,1,47:57.8,-70:19:33.5,15.571,16.366,0.795,2.1697478
OGLE-LMC-CEP-0094,F,48:00.9,-69:19:14.8,16.009,-99.99,-99.99,3.2127688
OGLE-LMC-CEP-0095,F,48:02.0,-67:48:29.3,15.476,16.159,0.683,2.7749337
OGLE-LMC-CEP-0096,1,48:04.3,-69:18:25.9,14.55,15.324,0.774,4.3379802
OGLE-LMC-CEP-0097,1,48:26.7,-67:32:47.1,14.399,15.128,0.729,3.9934311
OGLE-LMC-CEP-0098,1,48:29.1,-70:28:43.3,16.661,17.368,0.707,1.001248
OGLE-LMC-CEP-0099,1,48:30.9,-68:33:43.0,16.36,17.026,0.666,1.0930677
OGLE-LMC-CEP-0100,F,48:34.2,-70:10:16.3,15.455,16.198,0.743,3.2094086
OGLE-LMC-CEP-0101,F,48:34.2,-69:20:50.2,14.692,15.778,1.086,8.1924377
OGLE-LMC-CEP-0103,F,48:35.6,-67:35:00.0,13.988,14.675,0.687,7.157278
OGLE-LMC-CEP-0104,F,48:45.6,-70:00:21.3,15.434,16.175,0.741,3.1095464
OGLE-LMC-CEP-0105,F,48:48.9,-66:44:02.1,14.944,15.718,0.774,4.7407405
OGLE-LMC-CEP-0106,F,48:50.6,-70:14:53.2,15.439,16.222,0.783,3.2675038
OGLE-LMC-CEP-0107,F,48:51.4,-69:21:22.8,13.947,14.761,0.814,8.7388601
OGLE-LMC-CEP-0108,F,48:56.1,-68:54:06.7,15.25,15.989,0.739,3.7476
OGLE-LMC-CEP-0109,F,48:56.6,-68:57:12.7,15.823,16.657,0.834,2.85337
OGLE-LMC-CEP-0110,1,48:59.0,-70:04:20.0,14.789,15.633,0.844,2.1200666
OGLE-LMC-CEP-0111,F,49:04.2,-69:18:02.4,16.284,16.97,0.686,1.6128624
OGLE-LMC-CEP-0113,1,49:11.2,-68:54:29.4,15.8,16.571,0.771,1.8383406
OGLE-LMC-CEP-0114,F,49:12.5,-69:09:39.7,13.792,14.592,0.8,10.371999
OGLE-LMC-CEP-0115,1,49:13.0,-70:09:20.4,15.191,15.873,0.682,2.5151341
OGLE-LMC-CEP-0116,F,49:13.4,-70:08:59.8,15.353,16.116,0.763,3.4150618
OGLE-LMC-CEP-0117,1,49:15.9,-68:07:59.2,15.465,16.07,0.605,1.8851485
OGLE-LMC-CEP-0118,1,49:16.2,-69:20:19.4,15.711,16.513,0.802,1.998868
OGLE-LMC-CEP-0119,1,49:17.0,-69:12:24.9,15.508,16.326,0.818,2.2091215
OGLE-LMC-CEP-0120,1,49:19.2,-68:28:28.2,17.014,17.728,0.714,0.7471345
OGLE-LMC-CEP-0121,1,49:20.2,-69:56:58.2,14.693,15.424,0.731,3.5330125
OGLE-LMC-CEP-0122,F,49:21.0,-67:52:18.3,16.652,17.285,0.633,1.2929953
OGLE-LMC-CEP-0123,F,49:22.4,-69:09:01.8,14.904,15.94,1.036,6.8885387
OGLE-LMC-CEP-0124,1,49:25.3,-69:07:50.4,15.923,16.634,0.711,1.515221
OGLE-LMC-CEP-0125,1,49:32.1,-67:47:37.0,14.871,15.506,0.635,2.7162844
OGLE-LMC-CEP-0126,F,49:34.0,-66:58:33.0,14.375,15.296,0.921,7.6992572
OGLE-LMC-CEP-0127,1,49:36.0,-70:37:11.5,15.205,15.836,0.631,2.2385252
OGLE-LMC-CEP-0128,F,49:41.7,-70:37:38.1,15.246,16.021,0.775,3.8457511
OGLE-LMC-CEP-0129,1,49:44.0,-69:35:55.4,15.506,-99.99,-99.99,1.9095938
OGLE-LMC-CEP-0130,F,49:44.1,-69:12:54.8,16.535,-99.99,-99.99,3.4120477
OGLE-LMC-CEP-0131,F,49:45.0,-68:52:48.0,15.661,16.47,0.809,2.869498
OGLE-LMC-CEP-0132,F,49:45.7,-69:04:22.7,15.71,-99.99,-99.99,3.0610615
OGLE-LMC-CEP-0133,1,49:46.7,-66:55:42.3,15.863,16.488,0.625,1.3839965
OGLE-LMC-CEP-0134,1,49:51.2,-70:36:53.0,14.828,15.495,0.667,3.2425557
OGLE-LMC-CEP-0137,F,49:53.8,-69:45:16.4,-99.99,13.351,-99.99,27.1006309
OGLE-LMC-CEP-0138,F,49:55.6,-68:54:54.4,15.946,16.738,0.792,2.3754308
OGLE-LMC-CEP-0139,F,49:57.1,-69:07:38.0,14.142,15.039,0.897,9.7736415
OGLE-LMC-CEP-0140,F,49:57.6,-67:41:37.6,15.722,16.413,0.691,2.4202552
OGLE-LMC-CEP-0141,1,49:58.1,-67:57:03.3,15.322,15.881,0.559,1.876473
OGLE-LMC-CEP-0142,F,49:59.7,-69:47:06.3,15.33,16.167,0.837,3.771962
OGLE-LMC-CEP-0143,1,50:00.0,-67:55:28.6,15.986,16.635,0.649,1.4335438
OGLE-LMC-CEP-0144,1,50:00.5,-66:43:54.1,13.705,14.645,0.94,4.6189842
OGLE-LMC-CEP-0145,1,50:01.5,-68:35:16.2,15.317,16.061,0.744,2.5170278
OGLE-LMC-CEP-0147,F,50:03.2,-68:15:34.9,-99.99,13.478,-99.99,22.2630923
OGLE-LMC-CEP-0148,1,50:04.2,-70:37:14.8,14.291,15.003,0.712,4.6457612
OGLE-LMC-CEP-0149,F,50:09.6,-69:39:39.7,15.696,16.534,0.838,3.0792302
OGLE-LMC-CEP-0150,1,50:09.7,-70:30:53.9,15.528,16.151,0.623,1.7669312
OGLE-LMC-CEP-0151,F,50:14.3,-68:49:28.1,14.162,15.133,0.971,9.3645147
OGLE-LMC-CEP-0152,F,50:15.6,-68:59:52.9,15.054,-99.99,-99.99,3.6938683
OGLE-LMC-CEP-0153,1,50:17.4,-68:47:50.8,15.756,16.549,0.793,1.9526319
OGLE-LMC-CEP-0154,F,50:17.8,-68:53:56.1,15.217,16.003,0.786,4.1646485
OGLE-LMC-CEP-0155,F,50:19.0,-69:43:02.2,13.852,14.622,0.77,9.8496665
OGLE-LMC-CEP-0156,1,50:20.1,-69:19:49.7,15.429,16.272,0.843,2.2390123
OGLE-LMC-CEP-0157,1,50:23.1,-67:11:48.3,15.428,16.003,0.575,1.7749615
OGLE-LMC-CEP-0158,F,50:23.4,-69:09:17.4,14.545,15.492,0.947,7.2298325
OGLE-LMC-CEP-0159,F,50:26.5,-70:33:27.5,14.727,15.532,0.805,5.4639151
OGLE-LMC-CEP-0160,F,50:27.6,-69:07:56.6,14.756,15.774,1.018,3.2013176
OGLE-LMC-CEP-0161,F,50:29.0,-68:06:53.8,15.73,16.329,0.599,2.1149438
OGLE-LMC-CEP-0162,F,50:30.8,-69:30:14.9,14.735,15.445,0.71,5.0243717
OGLE-LMC-CEP-0163,F,50:32.7,-68:12:49.6,15.144,15.797,0.653,3.4413496
OGLE-LMC-CEP-0164,F,50:36.0,-68:44:31.2,15.69,16.476,0.786,2.7808997
OGLE-LMC-CEP-0165,F,50:37.8,-69:10:26.0,15.491,16.294,0.803,3.2277115
OGLE-LMC-CEP-0166,F,50:38.0,-70:34:31.7,15.361,16.062,0.701,3.1462898
OGLE-LMC-CEP-0167,F,50:42.0,-69:01:53.0,13.568,14.452,0.884,12.5108516
OGLE-LMC-CEP-0168,F,50:43.7,-69:31:44.7,16.253,17.009,0.756,1.7544103
OGLE-LMC-CEP-0169,F,50:48.6,-69:05:07.0,14.774,15.677,0.903,5.7768046
OGLE-LMC-CEP-0170,F,50:49.0,-69:07:04.8,15.417,16.288,0.871,3.9895888
OGLE-LMC-CEP-0171,F,50:50.5,-69:15:22.2,15.439,16.231,0.792,3.4122045
OGLE-LMC-CEP-0172,F,50:50.6,-69:05:28.3,15.846,16.669,0.823,2.5161247
OGLE-LMC-CEP-0173,F,50:51.4,-66:59:56.7,15.591,16.407,0.816,3.0727919
OGLE-LMC-CEP-0174,F,50:52.4,-69:18:56.0,13.666,14.739,1.073,15.8633946
OGLE-LMC-CEP-0175,F,50:54.1,-69:31:41.6,15.453,16.161,0.708,3.0040744
OGLE-LMC-CEP-0176,F,50:55.7,-68:53:40.3,15.608,16.356,0.748,2.7567083
OGLE-LMC-CEP-0177,F,50:56.4,-69:12:51.0,15.031,15.844,0.813,4.2764188
OGLE-LMC-CEP-0179,F,51:01.4,-69:36:07.9,15.731,16.511,0.78,2.6151686
OGLE-LMC-CEP-0180,F,51:02.5,-69:54:49.4,16.892,17.598,0.706,1.0372144
OGLE-LMC-CEP-0181,F,51:04.9,-67:21:51.0,15.209,15.961,0.752,3.7039359
OGLE-LMC-CEP-0182,1,51:05.2,-66:50:58.3,16.533,17.204,0.671,1.0457823
OGLE-LMC-CEP-0184,1,51:07.5,-68:50:25.5,15.891,16.695,0.804,1.7935883
OGLE-LMC-CEP-0185,1,51:08.1,-69:18:35.2,18.193,18.749,0.556,0.2931891
OGLE-LMC-CEP-0186,F,51:09.6,-69:08:23.1,15.138,16.152,1.014,5.3792477
OGLE-LMC-CEP-0187,1,51:12.3,-67:15:20.6,14.124,14.739,0.615,4.8418441
OGLE-LMC-CEP-0188,F,51:12.7,-68:44:16.8,16.318,17.024,0.706,1.6484262
OGLE-LMC-CEP-0189,F,51:15.6,-69:05:17.2,14.765,15.684,0.919,5.9198864
OGLE-LMC-CEP-0190,1,51:15.6,-70:13:52.0,15.302,-99.99,-99.99,1.9127457
OGLE-LMC-CEP-0191,F,51:18.0,-69:45:44.7,15.327,16.034,0.707,3.3540102
