OGLE-BLG-DSCT-00051,singlemode,258.663465,-29.529694,17.623,18.582,0.959,0.06028494,-99.99
OGLE-BLG-DSCT-00052,singlemode,258.66483,-30.011306,17.629,18.882,1.253,0.08976319,-99.99
OGLE-BLG-DSCT-00053,singlemode,258.673245,-27.974472,17,18.189,1.189,0.07432891,-99.99
OGLE-BLG-DSCT-00054,singlemode,258.67671,-30.318556,17.958,19.319,1.361,0.06021463,-99.99
OGLE-BLG-DSCT-00055,singlemode,258.678465,-29.4745,17.628,18.645,1.017,0.08810378,-99.99
OGLE-BLG-DSCT-00056,singlemode,258.68163,-30.078083,17.999,19.282,1.283,0.06111337,-99.99
OGLE-BLG-DSCT-00057,singlemode,258.687915,-29.496417,17.765,18.767,1.002,0.06559091,-99.99
OGLE-BLG-DSCT-00058,singlemode,258.69642,-28.423361,18.228,19.451,1.223,0.06030451,-99.99
OGLE-BLG-DSCT-00059,multimode,258.71742,-28.408639,17.992,18.936,0.944,0.07159659,0.05590874
OGLE-BLG-DSCT-00060,singlemode,258.727005,-28.016028,17.441,18.708,1.267,0.09389277,-99.99
OGLE-BLG-DSCT-00061,multimode,258.729285,-28.732139,16.94,18.019,1.079,0.07898581,0.06118963
OGLE-BLG-DSCT-00062,multimode,258.756495,-29.553972,17.302,18.296,0.994,0.08114754,0.06283924
OGLE-BLG-DSCT-00063,singlemode,258.75738,-28.093028,17.894,18.922,1.028,0.0606763,-99.99
OGLE-BLG-DSCT-00064,singlemode,258.758715,-29.295667,18.207,19.3,1.093,0.06110096,-99.99
OGLE-BLG-DSCT-00065,multimode,258.764295,-28.293722,17.864,18.917,1.053,0.08040658,0.06277675
OGLE-BLG-DSCT-00066,singlemode,258.771465,-29.063083,18.105,19.115,1.01,0.06003142,-99.99
OGLE-BLG-DSCT-00067,multimode,258.774705,-29.511333,17.515,18.556,1.041,0.06976502,0.05398612
OGLE-BLG-DSCT-00068,singlemode,258.782955,-28.943806,18.352,19.415,1.063,0.045771,-99.99
OGLE-BLG-DSCT-00069,singlemode,258.784035,-29.535028,17.407,18.428,1.021,0.06796002,-99.99
OGLE-BLG-DSCT-00070,singlemode,258.78816,-29.595444,16.277,18.085,1.808,0.06929278,-99.99
